id_student,url,homepage,subpage,resource,oucontent,oucollaborate,glossary,foruming,dataplus,he_level,gender,final_results
11391,1,35,10,9,0,0,0,27,0,HE Qualification,M,Pass
28400,16,64,28,0,0,0,0,56,0,HE Qualification,F,Pass
30268,3,27,10,0,0,0,0,42,0,A Level or Equivalent,F,Withdrawn
31604,14,55,31,1,0,0,0,41,0,A Level or Equivalent,F,Pass
32885,0,36,3,0,0,0,0,31,0,Lower Than A Level,F,Pass
38053,8,103,14,0,0,0,0,97,0,A Level or Equivalent,M,Pass
45462,6,42,23,0,2,2,0,12,0,HE Qualification,M,Pass
45642,12,48,30,1,1,1,0,46,0,A Level or Equivalent,F,Pass
52130,6,57,29,2,2,2,0,25,0,A Level or Equivalent,F,Pass
53025,8,32,15,1,0,0,0,101,0,Post Graduate Qualification,M,Pass
57506,11,79,34,0,0,0,0,2,0,Lower Than A Level,M,Pass
58873,16,67,30,2,2,2,0,35,0,A Level or Equivalent,F,Pass
59185,7,51,33,5,1,1,0,22,0,Lower Than A Level,M,Pass
62155,0,25,7,1,1,1,0,61,0,HE Qualification,F,Pass
63400,27,70,48,1,0,0,0,22,0,Lower Than A Level,M,Pass
65002,1,17,6,0,0,0,0,2,0,A Level or Equivalent,F,Withdrawn
70464,16,49,21,0,2,2,0,20,0,A Level or Equivalent,F,Pass
71361,12,68,21,2,1,1,0,184,0,HE Qualification,M,Pass
74372,0,3,3,0,0,0,0,0,0,A Level or Equivalent,M,Fail
75091,9,52,18,4,0,0,0,68,0,A Level or Equivalent,M,Pass
77367,11,51,23,1,0,0,0,22,0,A Level or Equivalent,M,Pass
91265,17,41,27,1,0,0,0,0,0,HE Qualification,M,Pass
94961,7,29,27,0,0,0,0,3,0,Lower Than A Level,M,Withdrawn
98094,2,74,30,2,0,0,0,16,0,Lower Than A Level,M,Pass
100893,8,22,14,0,1,1,0,10,0,A Level or Equivalent,M,Pass
101781,46,155,71,1,0,0,0,82,0,Lower Than A Level,M,Pass
102806,1,77,22,2,0,0,0,11,0,A Level or Equivalent,M,Pass
102952,10,42,25,2,0,0,0,43,0,HE Qualification,M,Pass
104476,35,130,36,2,5,5,0,93,0,Post Graduate Qualification,M,Pass
106247,0,3,3,2,0,0,0,5,0,HE Qualification,M,Withdrawn
106577,0,44,6,4,0,0,0,22,0,Lower Than A Level,M,Pass
110175,0,31,20,7,0,0,0,13,0,HE Qualification,M,Pass
111717,6,74,25,3,2,2,0,43,0,HE Qualification,F,Pass
113295,16,117,33,6,4,4,0,75,0,Lower Than A Level,M,Pass
114017,15,74,59,16,0,0,0,3,0,Post Graduate Qualification,F,Pass
114999,4,20,8,2,0,0,0,8,0,HE Qualification,M,Pass
116541,17,89,32,3,0,0,0,14,0,HE Qualification,M,Pass
116692,7,51,19,0,0,0,0,1,0,A Level or Equivalent,M,Pass
118983,0,9,9,1,0,0,0,2,0,HE Qualification,M,Pass
123044,24,95,42,2,2,2,0,60,0,A Level or Equivalent,M,Pass
127582,0,29,13,2,0,0,0,22,0,A Level or Equivalent,F,Pass
129955,12,74,27,3,1,1,0,9,0,A Level or Equivalent,M,Withdrawn
132976,0,16,3,0,1,1,0,1,0,Lower Than A Level,F,Pass
134143,0,42,20,1,0,0,0,2,0,A Level or Equivalent,F,Distinction
135335,0,17,2,0,0,0,0,0,0,Lower Than A Level,F,Withdrawn
135400,4,26,15,1,0,0,0,4,0,Lower Than A Level,F,Withdrawn
137873,2,62,16,1,0,0,0,140,0,A Level or Equivalent,M,Pass
141355,5,47,19,3,0,0,0,105,0,A Level or Equivalent,F,Pass
141377,0,3,1,0,0,0,0,0,0,A Level or Equivalent,M,Withdrawn
142326,7,34,21,2,0,0,0,34,0,A Level or Equivalent,F,Pass
144801,16,99,59,27,2,2,0,160,2,HE Qualification,F,Pass
145130,0,26,6,2,0,0,0,18,0,HE Qualification,M,Pass
146188,0,16,10,2,2,2,0,9,0,A Level or Equivalent,F,Fail
147756,5,66,14,6,0,0,0,39,0,Lower Than A Level,M,Fail
148993,3,76,10,0,0,0,0,107,0,A Level or Equivalent,F,Withdrawn
151358,0,5,9,0,0,0,0,0,0,A Level or Equivalent,F,Pass
155550,21,81,51,4,0,0,0,15,0,A Level or Equivalent,M,Pass
155854,1,100,5,0,2,2,0,90,0,A Level or Equivalent,F,Pass
155984,12,48,27,8,2,2,0,53,1,Lower Than A Level,F,Withdrawn
157568,17,67,29,2,1,1,0,9,0,A Level or Equivalent,F,Pass
159954,10,64,24,1,2,2,0,40,0,A Level or Equivalent,M,Withdrawn
164259,3,13,9,0,0,0,0,0,0,A Level or Equivalent,M,Pass
167906,15,60,23,0,0,0,0,47,0,A Level or Equivalent,F,Pass
168936,4,50,12,1,0,0,0,31,0,Lower Than A Level,F,Pass
172112,13,42,28,7,0,0,0,3,0,HE Qualification,M,Pass
172797,2,26,11,0,0,0,0,5,0,A Level or Equivalent,F,Pass
174782,15,183,42,2,3,3,0,239,0,HE Qualification,M,Pass
175392,18,143,27,6,0,0,0,204,0,HE Qualification,M,Pass
175932,6,48,22,0,0,0,0,28,0,HE Qualification,M,Pass
175991,0,19,14,0,0,0,0,5,0,A Level or Equivalent,F,Fail
180753,11,44,22,0,0,0,0,113,0,A Level or Equivalent,M,Pass
181316,1,24,15,2,0,0,0,49,0,A Level or Equivalent,F,Withdrawn
183096,3,43,10,0,0,0,0,38,0,A Level or Equivalent,F,Pass
183947,0,32,13,4,0,0,0,39,0,A Level or Equivalent,M,Pass
184271,5,66,11,0,1,1,0,29,0,HE Qualification,M,Pass
185439,0,34,15,3,4,4,0,12,0,HE Qualification,M,Fail
186149,14,83,18,0,11,11,0,76,0,HE Qualification,M,Pass
187100,49,299,102,0,0,0,0,352,0,A Level or Equivalent,M,Distinction
